path,classification,label,Photo_Time,Location
I__00043.JPG,0,AVES,2022-07-30 15:02:29,AVES
I__00044.JPG,0,AVES,2022-07-30 19:22:17,AVES
I__00045.JPG,0,AVES,2022-07-30 19:22:17,AVES
I_00003a - copia.JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003a (2).JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003a.JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003b - copia.JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003b (2).JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003b.JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003c (2).JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00003c.JPG,0,AVES,2022-08-28 14:00:56,AVES
I_00004a (2).JPG,0,AVES,2022-08-29 10:15:31,AVES
I_00004a (3).JPG,0,AVES,2022-08-29 10:15:31,AVES
I_00004a (4).JPG,0,AVES,2022-05-16 10:56:18,AVES
I_00004a.JPG,0,AVES,2022-07-03 12:29:39,AVES
I_00004b (2).JPG,0,AVES,2022-05-16 10:56:18,AVES
I_00004b.JPG,0,AVES,2022-08-29 10:15:31,AVES
I_00004c.JPG,0,AVES,2022-08-29 10:15:31,AVES
I_00005a (2).JPG,0,AVES,2022-08-29 12:24:20,AVES
I_00005a (3).JPG,0,AVES,2022-08-29 12:24:20,AVES
I_00005a (4).JPG,0,AVES,2022-05-16 11:09:10,AVES
I_00005a.JPG,0,AVES,2022-07-03 13:57:09,AVES
I_00005b - copia.JPG,0,AVES,2022-05-16 11:09:10,AVES
I_00005b (2).JPG,0,AVES,2022-05-16 11:09:10,AVES
I_00005b.JPG,0,AVES,2022-08-29 12:24:20,AVES
I_00005c.JPG,0,AVES,2022-08-29 12:24:20,AVES
I_00006a - copia.JPG,0,AVES,2022-05-16 11:14:21,AVES
I_00006a (2).JPG,0,AVES,2022-08-30 09:51:42,AVES
I_00006a (3).JPG,0,AVES,2022-05-16 11:14:21,AVES
I_00006a.JPG,0,AVES,2022-07-03 14:02:16,AVES
I_00006b - copia.JPG,0,AVES,2022-05-16 11:14:21,AVES
I_00006b (2).JPG,0,AVES,2022-05-16 11:14:21,AVES
I_00006b.JPG,0,AVES,2022-07-03 14:02:16,AVES
I_00007a - copia.JPG,0,AVES,2022-05-16 15:57:31,AVES
I_00007a (2).JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00007a (3).JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00007a (4).JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00007a (5).JPG,0,AVES,2022-05-16 15:57:31,AVES
I_00007a.JPG,0,AVES,2022-07-03 14:07:26,AVES
I_00007b - copia.JPG,0,AVES,2022-05-16 15:57:31,AVES
I_00007b (2).JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00007b (3).JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00007b (4).JPG,0,AVES,2022-05-16 15:57:31,AVES
I_00007b.JPG,0,AVES,2022-07-03 14:07:26,AVES
I_00007c (2).JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00007c.JPG,0,AVES,2022-08-30 18:43:59,AVES
I_00008a - copia.JPG,0,AVES,2022-05-17 15:00:52,AVES
I_00008a (2).JPG,0,AVES,2022-05-17 15:00:52,AVES
I_00008a.JPG,0,AVES,2022-09-07 12:11:57,AVES
I_00008b - copia.JPG,0,AVES,2022-05-17 15:00:52,AVES
I_00008b (2).JPG,0,AVES,2022-05-17 15:00:52,AVES
I_00008b.JPG,0,AVES,2022-09-07 12:11:57,AVES
I_00009a - copia.JPG,0,AVES,2022-05-17 16:33:29,AVES
I_00009a (2).JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00009a (3).JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00009a (4).JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00009a (5).JPG,0,AVES,2022-05-17 16:33:29,AVES
I_00009a.JPG,0,AVES,2022-09-07 15:44:28,AVES
I_00009b (2).JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00009b (3).JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00009b (4).JPG,0,AVES,2022-05-17 16:33:29,AVES
I_00009b.JPG,0,AVES,2022-09-07 15:44:28,AVES
I_00009c (2).JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00009c.JPG,0,AVES,2022-08-31 12:08:50,AVES
I_00010a (2).JPG,0,AVES,2022-08-31 14:44:47,AVES
I_00010a (3).JPG,0,AVES,2022-08-31 14:44:47,AVES
I_00010a (4).JPG,0,AVES,2022-05-17 16:46:54,AVES
I_00010a.JPG,0,AVES,2022-09-08 15:55:37,AVES
I_00010b (2).JPG,0,AVES,2022-08-31 14:44:47,AVES
I_00010b (3).JPG,0,AVES,2022-08-31 14:44:47,AVES
I_00010b.JPG,0,AVES,2022-09-08 15:55:37,AVES
I_00010c (2).JPG,0,AVES,2022-08-31 14:44:47,AVES
I_00010c.JPG,0,AVES,2022-08-31 14:44:47,AVES
I_00011a.JPG,0,AVES,2022-07-06 16:10:03,AVES
I_00011b.JPG,0,AVES,2022-07-06 16:10:03,AVES
I_00011c.JPG,0,AVES,2022-06-23 14:04:24,AVES
I_00012a (2).JPG,0,AVES,2022-08-31 16:04:26,AVES
I_00012a (3).JPG,0,AVES,2022-06-24 07:36:13,AVES
I_00012a.JPG,0,AVES,2022-09-09 19:16:55,AVES
I_00012b (2).JPG,0,AVES,2022-06-24 07:36:13,AVES
I_00012b.JPG,0,AVES,2022-07-06 16:16:52,AVES
I_00012c.JPG,0,AVES,2022-06-24 07:36:13,AVES
I_00013a (2).JPG,0,AVES,2022-05-18 15:31:21,AVES
I_00013a (3).JPG,0,AVES,2022-06-24 10:47:23,AVES
I_00013a.JPG,0,AVES,2022-07-06 16:21:58,AVES
I_00013b (2).JPG,0,AVES,2022-05-18 15:31:21,AVES
I_00013b (3).JPG,0,AVES,2022-06-24 10:47:23,AVES
I_00013b.JPG,0,AVES,2022-07-06 16:21:58,AVES
I_00013c.JPG,0,AVES,2022-06-24 10:47:23,AVES
I_00014a.JPG,0,AVES,2022-06-24 11:03:18,AVES
I_00014b.JPG,0,AVES,2022-06-24 11:03:18,AVES
I_00014c.JPG,0,AVES,2022-06-24 11:03:18,AVES
I_00015a (2).JPG,0,AVES,2022-05-19 08:32:29,AVES
I_00015a (3).JPG,0,AVES,2022-06-24 13:10:49,AVES
I_00015a.JPG,0,AVES,2022-09-01 10:16:22,AVES
I_00015b (2).JPG,0,AVES,2022-05-19 08:32:29,AVES
I_00015b (3).JPG,0,AVES,2022-06-24 13:10:49,AVES
I_00015b.JPG,0,AVES,2022-09-01 10:16:22,AVES
I_00015c (2).JPG,0,AVES,2022-06-24 13:10:49,AVES
I_00015c.JPG,0,AVES,2022-09-01 10:16:22,AVES
I_00016a (2).JPG,0,AVES,2022-06-25 10:26:53,AVES
I_00016a.JPG,0,AVES,2022-05-19 11:36:03,AVES
I_00016b (2).JPG,0,AVES,2022-06-25 10:26:53,AVES
I_00016b.JPG,0,AVES,2022-05-19 11:36:03,AVES
I_00016c.JPG,0,AVES,2022-06-25 10:26:53,AVES
I_00017a (2).JPG,0,AVES,2022-06-26 08:24:56,AVES
I_00017a.JPG,0,AVES,2022-05-19 11:41:04,AVES
I_00017b (2).JPG,0,AVES,2022-06-26 08:24:56,AVES
I_00017b.JPG,0,AVES,2022-05-19 11:41:04,AVES
I_00017c.JPG,0,AVES,2022-06-26 08:24:56,AVES
I_00018a (2).JPG,0,AVES,2022-05-19 11:46:55,AVES
I_00018a (3).JPG,0,AVES,2022-06-26 10:07:44,AVES
I_00018a.JPG,0,AVES,2022-09-01 14:14:10,AVES
I_00018b (2).JPG,0,AVES,2022-05-19 11:46:55,AVES
I_00018b (3).JPG,0,AVES,2022-06-26 10:07:44,AVES
I_00018b.JPG,0,AVES,2022-09-01 14:14:10,AVES
I_00018c.JPG,0,AVES,2022-06-26 10:07:44,AVES
I_00019a (2).JPG,0,AVES,2022-05-19 13:37:22,AVES
I_00019a (3).JPG,0,AVES,2022-06-26 11:12:00,AVES
I_00019a.JPG,0,AVES,2022-09-01 15:36:44,AVES
I_00019b (2).JPG,0,AVES,2022-05-19 13:37:22,AVES
I_00019b (3).JPG,0,AVES,2022-06-26 11:12:00,AVES
I_00019b.JPG,0,AVES,2022-09-01 15:36:44,AVES
I_00019c (2).JPG,0,AVES,2022-06-26 11:12:00,AVES
I_00019c.JPG,0,AVES,2022-09-01 15:36:44,AVES
I_00020a (2).JPG,0,AVES,2022-05-19 17:57:36,AVES
I_00020a (3).JPG,0,AVES,2022-06-26 11:41:40,AVES
I_00020a.JPG,0,AVES,2022-05-19 17:57:36,AVES
I_00020b (2).JPG,0,AVES,2022-06-26 11:41:40,AVES
I_00020b.JPG,0,AVES,2022-05-19 17:57:36,AVES
I_00020c.JPG,0,AVES,2022-06-26 11:41:40,AVES
I_00021a (2).JPG,0,AVES,2022-06-26 11:59:43,AVES
I_00021a.JPG,0,AVES,2022-05-20 09:37:59,AVES
I_00021b (2).JPG,0,AVES,2022-06-26 11:59:43,AVES
I_00021b.JPG,0,AVES,2022-05-20 09:37:59,AVES
I_00021c.JPG,0,AVES,2022-06-26 11:59:43,AVES
I_00022a.JPG,0,AVES,2022-06-26 18:26:52,AVES
I_00022b.JPG,0,AVES,2022-06-26 18:26:52,AVES
I_00022c.JPG,0,AVES,2022-06-26 18:26:52,AVES
I_00023a.JPG,0,AVES,2022-06-27 09:07:48,AVES
I_00023b (2).JPG,0,AVES,2022-06-27 09:07:48,AVES
I_00023b.JPG,0,AVES,2022-05-20 12:28:29,AVES
I_00023c.JPG,0,AVES,2022-06-27 09:07:48,AVES
I_00024a (2).JPG,0,AVES,2022-05-20 14:00:13,AVES
I_00024a (3).JPG,0,AVES,2022-06-27 11:11:44,AVES
I_00024a.JPG,0,AVES,2022-09-02 10:39:40,AVES
I_00024b (2).JPG,0,AVES,2022-09-02 10:39:40,AVES
I_00024b (3).JPG,0,AVES,2022-05-20 14:00:13,AVES
I_00024b (4).JPG,0,AVES,2022-06-27 11:11:44,AVES
I_00024b.JPG,0,AVES,2022-07-12 01:12:37,AVES
I_00024c (2).JPG,0,AVES,2022-06-27 11:11:44,AVES
I_00024c.JPG,0,AVES,2022-09-02 10:39:40,AVES
I_00025a (2).JPG,0,AVES,2022-06-27 11:22:44,AVES
I_00025a.JPG,0,AVES,2022-09-02 13:06:19,AVES
I_00025b (2).JPG,0,AVES,2022-06-27 11:22:44,AVES
I_00025b.JPG,0,AVES,2022-09-02 13:06:19,AVES
I_00025c (2).JPG,0,AVES,2022-06-27 11:22:44,AVES
I_00025c.JPG,0,AVES,2022-09-02 13:06:19,AVES
I_00026a (2).JPG,0,AVES,2022-06-27 11:34:56,AVES
I_00026a.JPG,0,AVES,2022-09-05 10:45:06,AVES
I_00026b (2).JPG,0,AVES,2022-06-27 11:34:56,AVES
I_00026b.JPG,0,AVES,2022-09-05 10:45:06,AVES
I_00026c (2).JPG,0,AVES,2022-06-27 11:34:56,AVES
I_00026c.JPG,0,AVES,2022-09-05 10:45:06,AVES
I_00027a.JPG,0,AVES,2022-06-27 15:05:04,AVES
I_00027b.JPG,0,AVES,2022-06-27 15:05:04,AVES
I_00027c.JPG,0,AVES,2022-06-27 15:05:04,AVES
I_00028a.JPG,0,AVES,2022-06-27 19:52:42,AVES
I_00028b.JPG,0,AVES,2022-06-27 19:52:42,AVES
I_00028c.JPG,0,AVES,2022-06-27 19:52:42,AVES
I_00029a.JPG,0,AVES,2022-06-28 13:36:30,AVES
I_00029b.JPG,0,AVES,2022-06-28 13:36:30,AVES
I_00029c.JPG,0,AVES,2022-06-28 13:36:30,AVES
I_00030a.JPG,0,AVES,2022-06-28 17:26:25,AVES
I_00030b.JPG,0,AVES,2022-06-28 17:26:25,AVES
I_00031b.JPG,0,AVES,2022-06-28 19:32:35,AVES
I_00034a.JPG,0,AVES,2022-06-30 07:26:00,AVES
I_00035a.JPG,0,AVES,2022-09-13 10:00:06,AVES
I_00035b.JPG,0,AVES,2022-09-13 10:00:06,AVES
I_00035c.JPG,0,AVES,2022-09-13 10:00:06,AVES
I_00036a (2).JPG,0,AVES,2022-07-01 07:33:56,AVES
I_00036a.JPG,0,AVES,2022-05-21 12:32:07,AVES
I_00036b (2).JPG,0,AVES,2022-05-21 12:32:07,AVES
I_00036b (3).JPG,0,AVES,2022-07-01 07:33:56,AVES
I_00036b.JPG,0,AVES,2022-07-15 12:58:34,AVES
I_00036c.JPG,0,AVES,2022-07-01 07:33:56,AVES
I_00037a (2).JPG,0,AVES,2022-07-01 10:20:50,AVES
I_00037a.JPG,0,AVES,2022-07-15 13:06:21,AVES
I_00037b (2).JPG,0,AVES,2022-07-01 10:20:50,AVES
I_00037b.JPG,0,AVES,2022-07-15 13:06:21,AVES
I_00037c.JPG,0,AVES,2022-07-01 10:20:50,AVES
I_00038a (2).JPG,0,AVES,2022-05-22 10:22:00,AVES
I_00038a (3).JPG,0,AVES,2022-07-01 13:12:31,AVES
I_00038a.JPG,0,AVES,2022-07-15 13:22:36,AVES
I_00038b.JPG,0,AVES,2022-07-15 13:22:36,AVES
I_00039a (2).JPG,0,AVES,2022-05-22 10:27:25,AVES
I_00039a.JPG,0,AVES,2022-07-15 13:28:27,AVES
I_00039b.JPG,0,AVES,2022-07-15 13:28:27,AVES
I_00040a.JPG,0,AVES,2022-07-15 13:37:56,AVES
I_00040b.JPG,0,AVES,2022-07-15 13:37:56,AVES
I_00042a.JPG,0,AVES,2022-07-16 12:48:22,AVES
I_00043a.JPG,0,AVES,2022-07-06 13:27:07,AVES
I_00043b.JPG,0,AVES,2022-07-06 13:27:07,AVES
I_00044b.JPG,0,AVES,2022-05-25 08:33:43,AVES
I_00051a.JPG,0,AVES,2022-10-02 11:46:02,AVES
I_00054a.JPG,0,AVES,2022-05-27 17:14:57,AVES
I_00054b.JPG,0,AVES,2022-05-27 17:14:57,AVES
I_00055a (2).JPG,0,AVES,2022-05-27 17:22:03,AVES
I_00055a.JPG,0,AVES,2022-10-14 13:08:45,AVES
I_00055b (2).JPG,0,AVES,2022-05-27 17:22:03,AVES
I_00055b.JPG,0,AVES,2022-10-14 13:08:45,AVES
I_00055c.JPG,0,AVES,2022-10-14 13:08:45,AVES
I_00056a (2).JPG,0,AVES,2022-10-14 16:00:51,AVES
I_00056a (3).JPG,0,AVES,2022-05-27 17:28:38,AVES
I_00056a.JPG,0,AVES,2022-07-19 18:42:09,AVES
I_00056b (2).JPG,0,AVES,2022-10-14 16:00:51,AVES
I_00056b (3).JPG,0,AVES,2022-05-27 17:28:38,AVES
I_00056b.JPG,0,AVES,2022-07-19 18:42:09,AVES
I_00056c.JPG,0,AVES,2022-10-14 16:00:51,AVES
I_00057a.JPG,0,AVES,2022-07-15 08:04:40,AVES
I_00059a (2).JPG,0,AVES,2022-07-18 08:45:30,AVES
I_00059a.JPG,0,AVES,2022-10-15 13:18:55,AVES
I_00059b.JPG,0,AVES,2022-10-15 13:18:55,AVES
I_00059c (2).JPG,0,AVES,2022-07-18 08:45:30,AVES
I_00059c.JPG,0,AVES,2022-10-15 13:18:55,AVES
I_00060a.JPG,0,AVES,2022-07-18 12:38:20,AVES
I_00060b.JPG,0,AVES,2022-07-18 12:38:20,AVES
I_00060c.JPG,0,AVES,2022-07-18 12:38:20,AVES
I_00062a.JPG,0,AVES,2022-07-19 12:26:35,AVES
I_00062b.JPG,0,AVES,2022-07-19 12:26:35,AVES
