"path","classification","label","Photo_Time","Location"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I__00043.JPG",0,"AVES",2022-07-30 15:02:29,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I__00044.JPG",0,"AVES",2022-07-30 19:22:17,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I__00045.JPG",0,"AVES",2022-07-30 19:22:17,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003a - copia.JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003a (2).JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003a.JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003b - copia.JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003b (2).JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003b.JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003c (2).JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00003c.JPG",0,"AVES",2022-08-28 14:00:56,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004a (2).JPG",0,"AVES",2022-08-29 10:15:31,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004a (3).JPG",0,"AVES",2022-08-29 10:15:31,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004a (4).JPG",0,"AVES",2022-05-16 10:56:18,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004a.JPG",0,"AVES",2022-07-03 12:29:39,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004b (2).JPG",0,"AVES",2022-05-16 10:56:18,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004b.JPG",0,"AVES",2022-08-29 10:15:31,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00004c.JPG",0,"AVES",2022-08-29 10:15:31,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005a (2).JPG",0,"AVES",2022-08-29 12:24:20,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005a (3).JPG",0,"AVES",2022-08-29 12:24:20,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005a (4).JPG",0,"AVES",2022-05-16 11:09:10,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005a.JPG",0,"AVES",2022-07-03 13:57:09,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005b - copia.JPG",0,"AVES",2022-05-16 11:09:10,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005b (2).JPG",0,"AVES",2022-05-16 11:09:10,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005b.JPG",0,"AVES",2022-08-29 12:24:20,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00005c.JPG",0,"AVES",2022-08-29 12:24:20,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00006a - copia.JPG",0,"AVES",2022-05-16 11:14:21,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00006a (2).JPG",0,"AVES",2022-08-30 09:51:42,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00006a (3).JPG",0,"AVES",2022-05-16 11:14:21,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00006a.JPG",0,"AVES",2022-07-03 14:02:16,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00006b - copia.JPG",0,"AVES",2022-05-16 11:14:21,"AVES"
"/mnt/STORAGE/csar/pipo_images/AVES_2022/I_00006b (2).JPG",0,"AVES",2022-05-16 11:14:21,"AVES"
